影梦情牵,摄影师eale老秘,
琴梦昭华,摄影师eale老秘,
建国后的林元帅541,舒云探访九一三事件,
春季大忙，忙什么----修理农具整地备播,文献南阳,春季大忙，忙什么----  修理农具&bull;整地备播  《荀子&bull;王制》云：“春耕、夏耘、秋收、冬藏，四者不失时，故五谷不绝而百姓有馀食也。”自古以来，我国是个农业文明古国。春天耕种、
乌兹别克斯坦（45）布哈拉-四塔清真寺,刀如焰,四塔清真寺，又称查米纳清真寺。从旅游地图上看，查米纳是市内最东面的景点，选择从这里开始，能够从东到西贯穿几乎所有的市内景点。四塔清真寺并不是一座真正意义上的清真寺，它只是古代神学院建筑群的一部分，可惜
[转载]2022年06月22日,周玉琪,原文地址：2022年06月22日作者：可颖的玫瑰梦
[转载]千姿百态,周玉琪,原文地址：千姿百态作者：可颖的玫瑰梦
[转载]2022年06月23日,周玉琪,原文地址：2022年06月23日作者：可颖的玫瑰梦
[转载]米的风,周玉琪,原文地址：米的风作者：可颖的玫瑰梦
[转载]雪舞清灵,周玉琪,原文地址：雪舞清灵作者：摄影师eale老秘
无需人扶，自己站稳。,草囡,无需人扶，自己站稳。文/草囡 无气无力难适从，需索示意消严重，人生伴侣互欣颂，扶危济困显爱宠。自强资深向前弄，己见固执致繁雄，站立坐稳防耳聋，稳步稳行跃腾空。
[转载]昭昭盈柔念念春秋,周玉琪,原文地址：昭昭盈柔念念春秋作者：美图分享
2024南高加索行录（9）巴库（8）海湾夜色,梁斋,晚饭后，到海湾看夜景。里海黑乎乎，岸边灯光也不算亮堂，就这么个夜景了。
[转载]壬寅诗历：二月廿一日,周玉琪,原文地址：壬寅诗历：二月廿一日作者：曲径通幽壬寅诗历：二月廿一日宋·释德洪、元·刘永之宋·释德洪《二月二十一日奉陪季长游岳麓饭罢登法华台赋此》法华台上凭栏久，吹鬓东风晚雨晴。断岸平横千雉堞，道林远在一
[转载]90@365隋·卢思道,周玉琪,原文地址：90@365隋·卢思道作者：曲径通幽隋·卢思道卢思道（535年～586年），字子行，小字释奴，范阳涿县（今河北省涿州市）人。北齐到隋朝大臣、著名诗人，隐士卢道亮之子。出身范阳卢氏北祖大房。聪
[转载]都郊现代诗选,秋风扫落叶QinRuoshui,"原文地址：都郊现代诗选作者：沙里途_的博客都郊现代诗选6. 霍金的宇宙论他死了，他思想还活着宇宙不止一个, 还有多个宇宙的并存不是独一无二宇宙大爆炸也不止发生过一次由此推测出，会产生多个平行宇宙霍金还"
